OrderID,Date,ProductID,Region,Quantity,UnitPrice
2051,2025-06-19,P02,North,7,160
2052,2025-05-07,P03,East,5,315
2053,2025-08-27,P03,West,1,309
2054,2025-01-02,P02,South,5,156
2055,2025-10-03,P02,South,9,163
2056,2025-05-07,P02,North,8,158
2057,2025-12-15,P02,South,4,155
2058,2025-05-11,P03,North,2,309
2059,2025-06-16,P01,North,9,189
2060,2025-08-09,P01,West,10,189
2061,2025-10-22,P02,North,1,159
2062,2025-08-27,P01,East,6,207
2063,2025-05-05,P01,South,6,214
2064,2025-06-16,P03,North,6,306
2065,2025-08-04,P02,West,1,151
2066,2025-10-26,P02,North,4,134
2067,2025-04-13,P03,South,3,297
2068,2025-03-02,P03,North,8,299
2069,2025-08-18,P01,South,2,190
2070,2025-05-07,P02,West,10,144
2071,2025-02-02,P02,South,10,151
2072,2025-10-11,P03,West,10,291
2073,2025-12-09,P02,South,4,156
2074,2025-06-01,P01,East,1,207
2075,2025-11-08,P02,West,10,136
2076,2025-06-24,P01,East,7,205
2077,2025-07-02,P01,South,5,194
2078,2025-03-12,P02,South,5,165
2079,2025-05-17,P02,East,3,135
2080,2025-08-14,P03,South,9,298
2081,2025-11-05,P03,East,10,306
2082,2025-02-12,P02,North,9,137
2083,2025-05-04,P02,West,1,151
2084,2025-11-04,P01,West,10,196
2085,2025-02-02,P02,North,4,168
2086,2025-02-25,P03,North,7,291
2087,2025-10-19,P03,East,1,302
2088,2025-07-02,P03,East,2,311
2089,2025-03-12,P02,East,3,164
2090,2025-11-20,P01,East,4,212
2091,2025-01-20,P01,West,5,191
2092,2025-06-08,P03,North,3,311
2093,2025-04-23,P02,South,8,139
2094,2025-04-12,P03,East,4,286
2095,2025-05-23,P01,South,6,206
2096,2025-02-07,P03,West,7,320
2097,2025-05-17,P01,West,1,187
2098,2025-12-26,P01,North,9,184
2099,2025-08-07,P02,West,4,141
2100,2025-11-23,P01,West,7,204
2101,2025-05-08,P01,North,3,209
2102,2025-12-16,P01,West,7,199
2103,2025-10-21,P01,East,3,210
2104,2025-07-26,P02,South,5,152
2105,2025-04-07,P03,West,5,289
2106,2025-12-07,P03,East,10,299
2107,2025-07-17,P01,South,4,208
2108,2025-01-13,P01,South,2,202
2109,2025-04-16,P03,West,10,290
2110,2025-03-13,P03,East,10,301
2111,2025-02-20,P02,South,5,131
2112,2025-12-06,P01,East,4,198
2113,2025-07-11,P02,East,3,142
2114,2025-05-07,P02,South,1,160
2115,2025-06-04,P01,East,3,220
2116,2025-10-14,P03,North,10,282
2117,2025-07-26,P02,East,2,166
2118,2025-06-16,P02,North,2,156
2119,2025-10-21,P03,East,6,280
2120,2025-09-14,P02,West,10,158
2121,2025-10-01,P03,East,4,303
2122,2025-11-14,P03,South,10,317
2123,2025-02-17,P03,West,7,304
2124,2025-09-23,P01,East,3,215
2125,2025-03-23,P02,North,10,152
2126,2025-01-07,P03,West,2,303
2127,2025-02-19,P02,East,1,162
2128,2025-05-14,P03,South,5,319
2129,2025-08-13,P03,South,2,319
2130,2025-07-16,P02,West,10,147
2131,2025-02-17,P03,South,10,289
2132,2025-07-26,P02,West,5,149
2133,2025-03-19,P01,West,5,187
2134,2025-04-12,P01,North,10,200
2135,2025-05-28,P03,East,3,314
2136,2025-09-07,P03,South,3,305
2137,2025-05-03,P03,South,6,300
2138,2025-10-13,P01,South,6,199
2139,2025-10-27,P03,East,4,309
2140,2025-06-07,P02,West,5,161
2141,2025-04-27,P01,East,9,184
2142,2025-07-05,P02,East,4,164
2143,2025-11-11,P03,South,5,302
2144,2025-08-08,P03,West,9,299
2145,2025-04-03,P01,West,7,199
2146,2025-07-22,P02,South,7,140
2147,2025-10-18,P02,South,2,162
2148,2025-09-08,P01,South,9,203
2149,2025-10-16,P02,West,9,136
2150,2025-01-15,P01,West,9,218
2151,2025-06-26,P01,East,3,180
2152,2025-09-27,P02,North,2,136
2153,2025-05-18,P01,West,2,201
2154,2025-01-13,P01,South,10,213
2155,2025-09-04,P02,South,9,146
2156,2025-01-23,P03,South,8,319
2157,2025-01-07,P02,East,3,153
2158,2025-04-02,P03,North,4,312
2159,2025-12-27,P02,West,10,145
2160,2025-10-03,P02,West,2,149
2161,2025-03-13,P03,East,8,285
2162,2025-04-01,P02,East,8,162
2163,2025-10-28,P01,West,7,192
2164,2025-04-28,P02,South,2,170
2165,2025-01-20,P01,East,10,219
2166,2025-12-06,P01,South,6,213
2167,2025-05-07,P03,South,4,302
2168,2025-05-19,P01,North,6,212
2169,2025-11-06,P01,South,10,183
2170,2025-02-01,P01,East,4,209
2171,2025-05-22,P02,West,7,164
2172,2025-03-01,P01,North,10,203
2173,2025-09-02,P01,North,10,219
2174,2025-07-23,P03,East,2,284
2175,2025-09-07,P01,South,4,206
2176,2025-09-04,P02,North,7,154
2177,2025-05-28,P03,East,10,314
2178,2025-08-15,P02,North,8,166
2179,2025-11-06,P02,East,6,147
2180,2025-08-15,P02,South,3,130
2181,2025-11-25,P02,East,4,167
2182,2025-09-16,P02,South,1,159
2183,2025-07-02,P01,North,1,186
2184,2025-07-06,P03,West,5,285
2185,2025-01-15,P03,West,5,282
2186,2025-12-13,P02,West,3,134
2187,2025-01-25,P02,South,4,153
2188,2025-11-23,P03,North,9,314
2189,2025-03-05,P01,West,1,190
2190,2025-08-22,P02,West,7,151
2191,2025-10-11,P01,North,1,190
2192,2025-02-25,P02,North,4,146
2193,2025-08-14,P03,East,10,313
2194,2025-05-23,P03,East,7,315
2195,2025-02-10,P01,West,10,206
2196,2025-01-03,P02,South,4,136
2197,2025-02-13,P02,West,10,166
2198,2025-05-06,P03,North,3,280
2199,2025-02-26,P02,West,9,161
2200,2025-02-23,P03,North,8,296
2201,2025-11-26,P01,North,5,194
2202,2025-12-06,P03,West,8,291
2203,2025-06-16,P01,South,6,180
2204,2025-03-28,P03,North,1,314
2205,2025-04-10,P02,South,8,156
2206,2025-12-10,P03,North,6,307
2207,2025-09-23,P01,West,7,181
2208,2025-03-05,P03,South,3,306
2209,2025-08-01,P03,South,1,295
2210,2025-10-11,P01,North,2,182
2211,2025-08-26,P01,South,9,192
2212,2025-08-07,P02,South,10,156
2213,2025-04-14,P02,West,3,168
2214,2025-09-18,P02,South,6,141
2215,2025-03-17,P02,North,6,154
2216,2025-09-07,P02,South,2,141
2217,2025-05-10,P03,East,5,311
2218,2025-01-05,P01,South,3,207
2219,2025-03-26,P02,North,2,169
2220,2025-02-22,P02,South,7,155
2221,2025-04-25,P03,East,7,317
2222,2025-10-02,P02,South,2,142
2223,2025-06-02,P02,West,4,149
2224,2025-09-16,P01,East,7,198
2225,2025-10-11,P03,South,5,293
2226,2025-01-15,P01,West,4,218
2227,2025-11-05,P02,West,10,139
2228,2025-01-20,P01,South,8,208
2229,2025-02-25,P01,East,5,197
2230,2025-09-20,P01,South,5,193
2231,2025-09-16,P03,South,2,292
2232,2025-08-08,P01,West,8,208
2233,2025-06-21,P03,East,6,295
2234,2025-07-18,P03,East,4,306
2235,2025-11-26,P01,South,8,206
2236,2025-11-16,P01,South,4,198
2237,2025-09-26,P02,North,4,132
2238,2025-04-28,P01,East,5,216
2239,2025-02-20,P02,North,8,168
2240,2025-03-19,P02,West,6,135
2241,2025-01-19,P02,North,6,138
2242,2025-03-13,P03,East,6,316
2243,2025-06-20,P01,East,4,212
2244,2025-04-03,P03,West,8,316
2245,2025-09-06,P01,East,7,193
2246,2025-03-04,P03,West,10,286
2247,2025-06-26,P01,West,7,196
2248,2025-12-28,P02,West,1,153
2249,2025-05-25,P03,North,2,295
2250,2025-01-20,P01,East,9,186
2251,2025-03-09,P01,West,5,199
2252,2025-07-02,P02,North,9,153
2253,2025-10-15,P03,South,7,300
2254,2025-10-28,P03,North,10,308
2255,2025-07-27,P02,West,6,142
2256,2025-06-10,P03,East,9,301
2257,2025-08-28,P02,West,1,154
2258,2025-08-15,P01,West,1,217
2259,2025-12-08,P01,North,4,218
2260,2025-06-18,P03,West,7,319
2261,2025-02-10,P01,West,4,194
2262,2025-11-06,P01,South,5,209
2263,2025-09-28,P01,West,7,182
2264,2025-01-14,P02,South,9,138
2265,2025-12-23,P03,East,4,285
2266,2025-01-21,P02,West,10,145
2267,2025-11-16,P03,North,1,297
2268,2025-10-24,P03,South,3,312
2269,2025-02-22,P03,East,3,300
2270,2025-04-04,P01,East,2,194
2271,2025-02-17,P02,North,2,151
2272,2025-10-12,P03,East,1,309
2273,2025-06-10,P02,North,7,133
2274,2025-05-22,P01,North,1,191
2275,2025-05-04,P03,East,10,292
2276,2025-09-06,P02,North,6,130
2277,2025-03-10,P02,East,10,143
2278,2025-10-06,P03,West,4,280
2279,2025-02-07,P03,West,2,314
2280,2025-08-09,P01,North,8,212
2281,2025-09-07,P01,North,4,209
2282,2025-02-03,P03,North,2,290
2283,2025-04-15,P02,North,8,146
2284,2025-12-01,P01,South,10,204
2285,2025-03-08,P02,South,3,142
2286,2025-04-25,P03,South,1,308
2287,2025-01-05,P01,South,10,194
2288,2025-05-28,P02,East,10,163
2289,2025-01-20,P02,East,5,150
2290,2025-12-25,P03,South,10,317
2291,2025-09-12,P01,West,8,200
2292,2025-09-22,P01,North,10,186
2293,2025-01-26,P03,South,5,288
2294,2025-01-06,P03,South,9,294
2295,2025-08-14,P03,West,2,312
2296,2025-01-21,P01,West,8,200
2297,2025-11-07,P02,East,4,136
2298,2025-12-05,P02,West,9,161
2299,2025-12-20,P01,West,3,200
